Game Title,Genre,Sub-Genre,Key Mechanics,Key Dynamics,Key Aesthetics,Misc Game Characteristics,PEGI Rating,Gameplay Summary,Major Game Design Elements,Developer,Publisher
Star Wars: The Old Republic,MMORPG,Sci-Fi RPG,Class Storylines where each class has its own story arc; Light/Dark Choices where players’ decisions affect alignment; Companion System where NPCs that aid in combat and story; PvP Zones where players engage in battle against other players in Warzones.,Faction Dynamics of Galactic Republic vs. Sith Empire factions; Alignment Shifts where decisions impact character development (light or dark side); Guild Collaboration where players form guilds for larger PvE or PvP encounters; Raid and Flashpoint Mechanic for Large-scale group content,"Star Wars Aesthetic including spaceships, planets, and force abilities bringing the Star Wars universe to life; Cinematic Storytelling; Epic Soundtrack; Detailed Environments including iconic Star Wars planets like Tatooine and Hoth",Free-to-Play Model; Character Class Specificity with highly varied stories depending on chosen class; Multiple Expansions,PEGI 16,"Star Wars: The Old Republic is a narrative-driven MMORPG set in the Star Wars universe, where players choose a faction and engage in story-driven quests and large PvP/PvE battles.",Strong story arcs tied to the Star Wars universe; Rich character customization and alignment-based decision-making,"BioWare, Electronic Arts",Electronic Arts
War Thunder,MMO Combat Simulator,Vehicular Combat,"Realistic Battle Modes where players play in air, land, or sea combat scenarios; Unlock new vehicles by progressing through nations’ tech trees; Crew and Vehicle Management; PvP Combat where Players engage in large-scale battles.",Squad-Based Combat; Realistic Simulation with mechanics such as damage models and flight simulation; PvE and PvP Tension establishes balance between player combat and environment combat; Progression Through Tech Tiers by gaining experience and researching,"Detailed Vehicle Models with Highly accurate models of planes, tanks, and ships from WWII and beyond; Historical Accuracy of sound and environments; Varied Terrain where Battles take place across air, land, and sea; Cinematic Combat with detailed destruction physics",Cross-Platform Play;. Frequent Updates; Simulation Focus includes a blend of arcade and realistic combat mechanics.,PEGI 12,"War Thunder is a military combat simulator featuring planes, tanks, and ships from different eras. Players engage in both PvP and PvE battles across air, land, and sea.",Realistic vehicular combat with historically accurate vehicles and a strong progression system.,Gaijin Entertainment,Gaijin Entertainment
World of Tanks,MMO Combat Simulator,Tank Warfare,Tank Control where players use WWI and WWII-era tanks in combat; Tech Tree Progression where players unlock new tanks and upgrades; Strategic Combat where players choose strategic positions in battle; Clan wars and competitive gameplay,Team-Based Combat; Tactical Decision-Making where players must choose cover and fire positions; Progression Through Tank Tiers; PvP and Clan Battles with high-stakes competition for rewards.,"Realistic and historically accurate Tank Models; Vast Maps with large battlegrounds with varied terrain like cities and fields; Destruction Physics where tanks and buildings show realistic damage; War Atmosphere with tense, gritty battlefields with explosions and gunfire",Free-to-Play; Esports including competitive scene with professional tournaments; Clan Dynamics where players can form clans for clan-based battles.,PEGI 7,"World of Tanks is a vehicular combat game where players control tanks and engage in strategic, large-scale battles.",Realistic tank combat with deep tactical elements and large-scale multiplayer battles.,Wargaming.net,Wargaming.net
World of Warships,MMO Combat Simulator,Naval Warfare,Ship Control where players control naval warships in battle; Strategic Combat where players must position their ships effectively in combat; Unlock new ships and upgrades using tech trees as you progress; Team Play,Team Dynamics with emphasis on cooperative play and tactical positioning; Resource Management where players manage ship health and ammo during combat; Progression-Based where players unlock new ships through tech trees; PvP Focus with competitive naval battles in a large-scale multiplayer format,"Detailed Ship Models with highly detailed WWII-era warships; Historical Accuracy in realistic sound and environments, with maps based on real-world locations; Cinematic Naval Combat with realistic water and ship damage physics; Immersive Soundtrack",Free-to-Play; Cross-Platform; Expansive Naval Combat with real-time combat on the high seas with a variety of warships,PEGI 7,"World of Warships is a naval combat simulator where players control warships and engage in strategic, large-scale sea battles against other players and AI enemies.","Tactical naval combat with realistic ship handling, intense battles, and cooperative play mechanics",Wargaming.net,Wargaming.net
Street Fighter II,Fighting,2D Fighting,Combo Attacks where players string together hits for powerful combos; Special Moves include unique abilities like Hadouken; Timed Matches where players have to defeat opponent within a set time; Character Roster includes multiple fighters with varied moves,Competitive Play includes PvP matches in local and arcade mode; Health-Based System where players drain opponent's health bar to win; Fast-Paced Action where quick reflexes and strategy are needed.,Pixel Art; Iconic Soundtrack; Distinctive Characters where each character has unique design and fighting style,Revolutionized Fighting Games as the game set a benchmark for competitive play; Local Multiplayer as it popularized arcade PvP,PEGI 12,"A 2D fighting game where players choose a character and compete in one-on-one combat, utilizing special moves, combos, and strategy to win.",Refined fighting mechanics; character diversity; engaging PvP dynamics.,Capcom,"Capcom, Nintendo"
Tetris,Puzzle,Block-Matching,"Falling Blocks; Player arrange tetrominoes into lines; Line Clearing where completed lines are cleared for points; As levels progress, the speed increases; Endless Gameplay where players play until the blocks stack up.",High-Score Focus where players aim to achieve the highest score; Time Pressure because speed increases as blocks fall faster; Spatial Awareness where players have to predict block placements to create effective patterns.,Simple Graphics; Minimalistic Aesthetic; Engaging Soundtrack,"One of the Most Popular Puzzle Games available on multiple platforms; Endless Play with no definitive ""win"" condition.",PEGI 3,"A classic puzzle game where players arrange falling tetrominoes to clear lines and score points, with gameplay becoming progressively faster.",Block-matching mechanics; increasing difficulty; focus on high-scores and reflexes.,Alexey Pajitnov,Various publishers
EyeToy,Party,Augmented Reality; Motion,"Camera Interaction where players use physical movements to control the game; A collection of short, motion-based games; Improve reflexes and hand-eye coordination with fast-paced action",Party Game Dynamics that is designed for multiplayer fun; Encourages physical engagement through movement and interaction; Casual Play; Easy to pick up for all ages.,Interactive AR Graphics; Colorful and Kid-Friendly; Camera-Driven Gameplay,PlayStation Camera Required; Physical Gameplay that encourages active participation,PEGI 3,A motion-based party game that uses the PlayStation camera to allow players to interact with mini-games using physical gestures.,AR mechanics; family-friendly gameplay; variety of engaging mini-games.,London Studio,Sony Computer Entertainment
Custer’s Revenge,Action,Adult Content,Avoid Obstacles where players navigate through arrows and obstacles; Simple Movement includes basic left-to-right directional movement; Risk and Reward where players must balance between advancing and avoiding danger.,Single-Player Dynamics; Timed Progression: Players need to move quickly but carefully; High Risk as fail state is easy to reach if arrows are not dodged,Controversial Content with explicit adult themes; Simple Graphics; Static Backgrounds,Highly Controversial and known for its explicit themes; Outdated Visuals with simple 8-bit design; Low Replay Value and limited appeal due to controversy and simplicity.,NA,"A highly controversial adult game where players attempt to cross the screen while avoiding obstacles, featuring offensive themes.","Controversial themes, simple mechanics, and primitive game design.",Mystique,Mystique
Diablo II,RPG,Action-RPG,Point-and-Click Combat where players defeat enemies and bosses; Loot System where players collect powerful items; Character Classes where players choose from different classes with unique abilities; Skill Trees to customize character abilities,Character Progression to level up and unlock new abilities; Co-op Play encourages multiplayer play with friends; Explore vast dungeons filled with enemies and treasure; PvE Focus on player-vs-environment combat with hordes of enemies,"Dark Fantasy with Gothic, immersive environments; Cinematic Cutscenes with high-quality storytelling moments; Gritty Visuals and atmospheric, dark tone with detailed character models and environments",Online and Offline Play; Multiplayer co-op and solo play options; Iconic Game,PEGI 16,"A dark fantasy action RPG where players choose from different character classes, explore dungeons, defeat monsters, and collect loot to upgrade their character.",Loot-driven gameplay; class customization; intense PvE combat dynamics.,Blizzard Entertainment,Blizzard Entertainment
Raving Rabbids,Party,Action-Adventure,Mini-games with motion-based controls; Physics-based challenges; Quick reaction events; Time-limited objectives; Multiplayer support,Competitive gameplay with friends; Fast-paced interactions; Replayability due to mini-games variety,"Whimsical art style; Cartoonish animations; Silly, absurd humor; Vibrant color palette; Lighthearted music",Uses motion-sensing peripherals (Wii); Emphasis on humor and absurdity,PEGI 7,Players participate in a series of fast-paced mini-games that involve various wacky challenges. The game supports both single-player and multiplayer modes.,Motion-based mini-games; Emphasis on party gaming; Humor-driven themes; Short play sessions,Ubisoft Montpellier,"Ubisoft, Nintendo"
CrushStations,Educational,Puzzle,Memory games; Matching pairs; Incremental difficulty; Timer-based challenges; Educational content,Skill-building in brain training; Gradual learning progression; Timed decision-making,"Simplified, clean visuals; Underwater setting; Focus on calm and concentration",Focus on cognitive and educational learning,NA,"Players need to remember the color and type of creatures to free them and keep them out of reach of the hungry octopus, and solve similar brain-training puzzles to improve cognitive functions like memory.","Educational content; Focus on improving mental agility; Incremental difficulty; Short, focused play sessions",New York University,New York University
Word Whomp,Puzzle,Word Game,Form words from letters; Timed challenges; Scoring based on word length; Hints available; Progressive chalenges and difficulty levels,Fast typing skills; Vocabulary growth; Competitive scores; Pressure from time limit,Cheerful cartoon characters; Bright colors and visuals; Easy font; Playful background music; Fun animations,"Available on Pogo; Single-player with leaderboards; Short, casual play",NA,"Players form words from a set of letters within a time limit. Scores increase based on word length and complexity, with difficulty increasing at each level.","Word puzzle-solving; Time pressure; Scoring system; Casual, light aesthetic",Pogo,Electronic Arts
iSniper 3D Arctic Warfare,FPS,Shooter; Action,Precision aiming where players engage in Sniping gameplay; Wind and distance affecting ballistics and bullet trajectory simulation; Weapon upgrades and attachments; Mission-based structure and objectives; Real-time scope adjustment of gameplay,Tactical planning for each shot where players select positions and targets and time their shots; Progression through objectives to unlock more weapons and weapon customizations; Balance between stealth and action; Increasing difficulty as missions advance with real-time feedback on hits and misses; ,"Realistic arctic environments and warzones; Cold, bleak atmosphere with a focus on minimalism; Detailed sniper models with HUD; Weapon customization visuals; Subdued color palette to reflect harsh conditions; Immersive sound effects",Focus on realistic sniping experience; Arctic setting provides a unique challenge; Single-player campaign with various sniper-focused missions; Limited ammunition and variable difficulty based on accuracy and mission progression.,PEGI 16,"Players are required to calculate their shots based on distance and wind factors while completing objectives. They take the role of a sniper in an arctic warfare setting, completing various missions by eliminating targets from a distance using precision and strategy.",Precision aiming mechanics; Realistic and tactical sniping missions; Ballistic realism; Stealth-oriented gameplay; strategic decision-making,Triniti Interactive Studios,Triniti Interactive Studios
Counter-Strike,FPS,Shooter; Action,Team-based gameplay where players engage in teams for real-time strategies; Realistic weapon mechanics; Recoil and spread patterns; ; Objective-based rounds including bomb defusal; Tactical shooting; Economy system affecting weapon purchases,"Round-based matches; Team coordination and communication required for objectives; Skill-based and reflex-based aiming and shooting mechanics; Economy system for buying gear; Dynamic team roles, such as snipers or bomb-planters; Fast-paced, high-intensity matches","Realistic and gritty urban environments with intense, tactical aesthetics; Realistic character models and animations; Detailed weapon design based on real-world models; Industrial or military-themed settings; Immersive soundscapes of gunfire and movement",Known for its modding community that provides endless content; competitive esports scene; realistic combat mechanics; Game modes influence team play dynamics; Highly competitive multiplayer focus,PEGI 18,"Tactical multiplayer FPS where two teams, terrorists and counter-terrorists, face off in strategic, objective-based modes, aiming to complete objectives or eliminate the opposing team. ","Strategic team-based gameplay with an emphasis on tactics, reflexes, and weapon handling skills; Strategic loadout and economy management",Valve Corporation,Valve Corporation
Medal of Honor: Allied Assault,FPS,Shooter; Action,Objective-based missions set during WWII; Various authentic weapon types reflecting the era; Squad-based and solo missions using AI characters; Vehicle sequences; Stealth mechanics in certain missions; Cover and shoot mechanics," Immersive, narrative-driven campaign with WWII atmosphere; Dynamic squad interactions with realistic behavior; Intense firefights; Strategic use of cover and stealth; Authentic WWII battle dynamics; Tension in large-scale battles and firefights.",Realistic WWII settings with histirically accurate environments; Authentic and detailed  WWII weaponry and uniforms; Desolate European battlefields; Period-appropriate vehicles; Cinematic narrative-based visuals; Immersive sound design replicating battle noise,"Influenced by real WWII events and missions, with a focus on authenticity and immersion; Single-player campaign with multiplayer modes; Dynamic squad AI during missions",PEGI 16,"WWII-themed FPS where players take part in iconic historical WWII battles as a part of the Allied forces,using a variety of weapons and tactics to complete mission objectives. Some missions require stealth, while others are intense combat scenarios.",Objective-driven narrative with realistic WWII gameplay and historical missions; Strategic use of stealth and combat including cover-based mechanics; Vehicle sequences and period weaponry; Squad coordination; Auhentic weapon handling,"2015, Inc.",Electronic Arts
Halo,FPS,Shooter; Action,Sci-fi shooting with energy and ballistic weapons; Regenerating shields; Vehicular combat; Multiplayer modes with objective-based gameplay; Alien and human enemies with varied abilities; Melee combat modes,"Team-based multiplayer dynamics; Fast-paced combat with focus on weapon accuracy and positioning; Strategic use of vehicles in larger maps; Dynamic narrative in campaign mode; Strategic resource management (ammo, shields); Use of alien and human weapons","Futuristic, alien worlds; Highly detailed environments ranging from alien structures to human military bases; Sci-fi soundscapes with orchestral themes; Iconic character designs (Master Chief, alien races); Vibrant, high-contrast colors","Known for its narrative-rich campaigns; Strong multiplayer eSports presence; Popular for its mix of on-foot and vehicular combat; One of the most iconic and influential first-person shooters, with a long-standing multiplayer community; Known for its balanced multiplayer gameplay",PEGI 16,"Sci-fi FPS where players battle against alien forces in a futuristic world. The game features both a strong single-player narrative and robust multiplayer modes, including large-scale vehicular combat and strategic team-based matches. Players assume the role of Master Chief, a Spartan soldier, to battle an alien alliance known as the Covenant in a sci-fi universe filled with action and drama.",Sci-fi weapons and vehicles; Strategic multiplayer modes; Dynamic alien and human enemies; Fast-paced action,"Halo Studios, Bungie Inc.",Microsoft Game Studios
Kung-Fu for Kinect,Action,Fighting; Motion,Kinect motion-based controls; Gesture-based combat; Real-time tracking; Combo moves; Varied difficulty levels,Fast reflex-based gameplay; Real-time player feedback; Combo-building and scoring; Player movement influencing in-game character moves.,"Bright, cartoonish environments; Responsive UI for player movement; Family-friendly visuals; Character models designed for humor.",Highly dependent on player movement and Kinect tracking technology; Offers a unique fighting experience using physical gestures rather than traditional controls,PEGI 7,"Players use Kinect to control an on-screen character, performing various martial arts moves and combos to defeat enemies in a motion-based fighting game.",Kinect motion-based gameplay; gesture-based combat; responsive tracking; combo mechanics; dynamic difficulty progression.,Virtual Air Guitar Co,Microsoft Studios
Mindlight,Puzzle,Emotional; Biofeedback; Adventure,Neurofeedback gameplay where player performance affects in-game actions based on the player's brain activity; Puzzle-solving using emotional control mechanics; Dynamic difficulty that adapts to the player's real-world state; Exploration of emotional landscapes.,Relaxation and focus mechanics as the game’s difficulty changes depending on the player's emotions; Encourages emotional regulation through feedback-driven gameplay; Non-linear puzzle-solving dynamics based on emotional responses; Challenges centered around staying calm and focused to succeed,"Calming, atmospheric visuals; Dreamlike environments; Soothing background music designed to relax the player; Emotional, abstract level design.",Proven to be as effective as Cognitive Behavioral Therapy (CBT); Uses biofeedback to turn emotions into real-time game input; Unique neurofeedback mechanics make this a distinct game for relaxation and self-regulation,NA,"A biofeedback-based game where players explore emotional landscapes and solve puzzles through emotional regulation and brain activity monitoring, helping with emotional and mental well-being.","Emotional regulation mechanics; Real-time neurofeedback affecting in-game performance; Dynamic difficulty; Abstract, emotional puzzle-solving",GEMH lab,GEMH lab
FIFA,Sports,Soccer; Football,"Real-time soccer simulation; Player movement and ball physics are influenced by real-world physics; Career mode with team and player management; Online and offline multiplayer modes; Player training, transfers, and team development.","Fast-paced matches that replicate real-life soccer dynamics; Strategy in team formation and tactics; Player-controlled gameplay that emphasizes dribbling, passing, shooting, and defending; Competitive multiplayer mode, either online or local, with leaderboard tracking and skill progression.","High-fidelity stadiums and player models; Realistic animations and ball physics; Detailed team kits and branding; Official licenses for teams and leagues, adding authenticity.","Features realistic soccer simulation with licensed teams, stadiums, and leagues, adding to its appeal for football fans; Includes career mode, Ultimate Team, and multiplayer modes for different playstyles",PEGI 3,"A soccer simulation game that offers real-time football matches, career development, team management, and competitive online play, modeled after real-world leagues and teams.","Realistic soccer simulation, online and offline multiplayer modes, career management, Ultimate Team trading and collecting, and skill-based gameplay mechanics.",EA Sports,"EA Sports, Nexon"
Civilization,Strategy,"4X (Explore, Expand, Exploit, Exterminate)",Turn-based strategy mechanics; City-building and resource management; Diplomacy with AI factions and real players; Combat system for both land and naval units; Research trees to unlock new technologies and abilities.,"Emergent gameplay with various strategies to expand, explore, and conquer; Dynamic alliances and wars depending on player actions; Long-term goal of global domination or achieving victory via science, culture, or diplomacy; Balancing between economic growth, military power, and technology development.","Highly detailed world maps; Civilizations with unique visual representations; Iconic monuments, leaders, and units for each civilization; Atmospheric orchestral music.","A highly complex game that offers multiple ways to win and caters to different playstyles, from domination to peaceful diplomatic strategies",PEGI 12,"A turn-based strategy game where players lead a civilization from the dawn of history to the space age, managing resources, diplomacy, and military conquests to achieve victory.",Deep turn-based strategy; resource management; multi-tiered diplomacy; Military conquest mechanics designed to offer long-term strategic planning and execution.,Firaxis Games,2K Games
Fruit Ninja,Action,Arcade; Casual,"Slice-based mechanics where players swipe their screen to cut flying fruit; Combo system to encourage slicing multiple fruits in one swipe; Power-ups that enhance the slicing ability; Timed levels, endless modes, and survival modes.",Fast reflex-based gameplay that requires quick reactions to maximize combos; Increasing difficulty with more complex patterns of fruit and bombs; Score-chasing dynamic as players compete for higher results; Encourages mastery through progressive skill improvement.,"Colorful, vibrant visuals; Simple, engaging interface; Smooth animations of fruits being sliced; Cheerful background music and sound effects.",Designed for touchscreens and fast-paced arcade action; Known for its highly addictive and family-friendly nature,PEGI 3,Players swipe their screen to slice fruits while avoiding bombs in this highly addictive and fast-paced arcade game.,"Fast reflex-based slicing mechanics; combo-based score system; Power-up usage, integrated into an intuitive touch-based gameplay experience",Halfbrick Studios,Halfbrick Studios
Mad City Mystery,RPG,Adventure; place-based augmented reality game; murder mystery ,Clue-gathering and investigative mechanics; Interactive dialogue choices; Puzzle-solving to progress the narrative; Inventory system for collected items.,Story-driven exploration with branching paths based on player choices; Dynamic narrative that changes based on investigation results; Use of clues to solve mysteries; Puzzle-based progression to unlock new areas and clues.,"Dark, moody atmosphere to enhance the mystery setting; Hand-drawn or stylized graphics; Ambient soundtracks that build tension.",Known for its immersive storytelling and decision-based gameplay that tailors the outcome to the player's investigative choices,NA,"The game itself begins with the revelation of Ivan’s mysterious death. Players must interview virtual characters, gather quantitative data samples, solve puzzles, make choices and examine government documents to unravel a complex mystery in a noir-like setting. Players work in teams that may or may not compete with other teams.",Investigation mechanics; dialogue-driven progression; interactive puzzles; a narrative that adapts to player decisions.,NA,NA
Clash of Clans,Strategy,Base-Building; Tower Defense,Base-building and resource management; Troop training and deployment for attacking other player bases; Clan-based teamwork mechanics; Defense structures to protect resources and bases.,Competitive multiplayer dynamics with base raids and defense; Time management mechanics for resource collection and upgrades; Clan warfare and cooperation; Strategic planning for both offense and defense.,"Stylized cartoonish art style; Vibrant, colorful environments; Fun, energetic music and sound effects that match the casual nature of the game.",Heavily reliant on multiplayer interactions and time-based upgrades; Popular for its clan wars and competitive raids against other players,PEGI 7,"A base-building strategy game where players collect resources, build defenses, and train troops to raid enemy bases in a competitive multiplayer environment.",Base-building; resource management; troop training; strategic raids; clan-based multiplayer warfare.,Supercell,Supercell
Skyrim,RPG,Open-world; Action RPG,"Open-world exploration with a massive fantasy setting; Character customization and skill development; First/third-person combat with magic, weapons, and stealth; Crafting, smithing, and alchemy mechanics.",Non-linear exploration with player-driven quests; Dynamic combat that adapts to player’s choices in skills; Player choices affecting in-game factions and world events; Immersion in a rich fantasy narrative.,"Detailed, expansive environments with mountains, cities, and dungeons; Atmospheric soundtracks that enhance the epic fantasy setting; Realistic day-night cycles and weather effects.","Features dynamic NPC interactions; radiant AI; random events that create a living, breathing world; Known for its modding community, which has kept the game relevant for years.",PEGI 18,"A sprawling open-world RPG set in the fantasy world of Tamriel, where players create a character and explore vast lands, fight dragons, and engage in an epic main quest and side adventures.",Open-world exploration; deep character customization; branching narratives with player choices; a dynamic combat system with various weapons and magic.,Bethesda Game Studios,Bethesda Softworks
Command & Conquer,RTS,Military Shooter,Base building and resource management; Commanding armies in real-time combat; Tech trees for unlocking advanced units; Tactical unit positioning and defense.,Balancing offense and defense in real-time; Resource management and allocation for military power; Competitive dynamics between rival factions; Tech advancement and upgrades.,Stylized 2D/3D environments with military themes; Immersive soundtracks that reflect the game’s war settings; Detailed unit designs and combat effects.,"A hallmark real-time strategy game known for fast-paced battles, large armies, and iconic military factions like the GDI and NOD",PEGI 12,"A classic real-time strategy game where players build bases, manage resources, and command armies to defeat opponents in strategic warfare.",Base building; resource management; strategic combat with land and air units; tech upgrades; tactical warfare; faction diversity,"Westwood Studios, Electronic Arts",Electronic Arts
Tactical Ops: Assault on Terror,FPS,Tactical Shooter,Team-based combat; Objective-driven missions such as bomb defusal and hostage rescue; Realistic gunplay mechanics; Multiplayer-focused gameplay.,"Coordination between team members; Competitive multiplayer dynamics; Fast-paced, tactical decision-making; Risk-reward system for completing objectives.",Realistic environments; Immersive sound design with gunfire and battle effects; Tension-filled atmosphere,"Heavily influenced by the Counter-Strike formula with a focus on tactical, team-oriented gameplay and realistic gun mechanics.",PEGI 16,A tactical first-person shooter where players take on the roles of counter-terrorist operatives or terrorists in various objective-based multiplayer scenarios.,"Objective-driven missions; team-based coordination; realistic gunplay; strategy-focused action, all in a fast-paced, tactical environment.",Kamehan Studios,Atari SA
Resident Evil 5,Action-Adventure,Survival Horror,Third-person shooter mechanics; Co-op gameplay with AI or another player; Inventory management for items and weapons; Contextual melee attacks for crowd control.,Tension-filled resource management and ammo scarcity; Dynamic interactions between AI partner and player; Action-focused combat with horror elements; Pacing through enemy waves and exploration.,"Realistic, dark environments with a horror aesthetic; Cinematic cutscenes that enhance storytelling; Detailed character models and grotesque enemy designs.","Known for its co-op multiplayer feature, allowing two players to experience the entire campaign together",PEGI 18,A co-op survival horror game where players fight mutated enemies in Africa while uncovering a biological conspiracy. The game emphasizes co-op gameplay and action-packed sequences.,Third-person shooter; survival mechanics; co-op gameplay; action-horror combat; tense pacing,Capcom,Capcom
Remnant: From The Ashes,RPG,Action RPG; Souls-like Shooter,Procedural generation for environments and enemies; Third-person shooting with melee combat; Crafting and upgrading system for gear; Co-op gameplay with up to 3 players.,Dynamic teamwork and strategy in co-op combat; Risk-reward progression system with difficult enemy encounters; Replayability through randomized world and enemy generation; Player agency in weapon and ability customization.,"Dark, post-apocalyptic environments with ruined cities and ancient worlds; Atmospheric sound design with eerie effects and epic combat music; Unique, grotesque monster designs.","Emphasis on randomized elements and challenging combat, similar to Dark Souls, but with third-person shooter mechanics",PEGI 16,"A challenging action RPG where players travel through procedurally generated worlds, fight powerful enemies, and upgrade their gear in an effort to stop an ancient evil force from consuming reality.",Procedural generation; third-person shooter mechanics; co-op play; souls-like progression with crafting and upgrading systems,Gunfire Games,Gearbox Publishing
Diablo Immortal,RPG,Action-RPG; Hack-and-Slash; MMORPG,Fast-paced hack-and-slash combat; Mobile MMO mechanics with instanced dungeons and multiplayer hubs; Loot-based progression system; Class-based abilities and skill trees.,Multiplayer interactions in real-time for dungeon raids; Constant progression through loot and gear upgrades; Class synergy in multiplayer co-op dungeons; Event-driven dynamics with world bosses and limited-time events.,"Dark fantasy environments with gothic designs; High-quality, mobile-friendly visuals; Dynamic lighting and atmospheric sound effects that enhance the fantasy setting.","Designed primarily as a mobile MMORPG with frequent content updates, live events, and microtransactions for in-game items.",PEGI 16,"A mobile hack-and-slash MMO based in the Diablo universe where players can choose from multiple classes and explore dungeons, defeat enemies, and collect loot to upgrade their characters.",Hack-and-slash combat; loot-driven progression; multiplayer dungeons; mobile-optimized mechanics.,Blizzard Entertainment,Blizzard Entertainment
Township,Simulation,City-Building; Farming,Resource management for crops and factories; City-building mechanics with customizable layouts; Social interaction through in-game events and trades; Mini-games and quests for rewards.,Balancing between city development and resource production; Cooperative social play through friend interactions and trades; Dynamic economy management with growing populations and industries; Time management and optimization for growth.,"Bright, colorful graphics that appeal to casual gamers; Friendly, upbeat music and sound effects; Cartoony, stylized visuals that enhance the casual, family-friendly appeal.","Focuses heavily on time-based mechanics, where players must wait for crops to grow or buildings to be constructed, with the option for microtransactions to speed up progress",PEGI 3,"A casual farming and city-building simulator where players grow crops, manage factories, and build a thriving town, with social interactions and cooperative gameplay.","City-building; resource management; cooperative social gameplay; farming mechanics, with an emphasis on casual, time-based progression.",Playrix,Playrix
The Elder Scrolls IV: Oblivion,RPG,Open-World; Action RPG; Shooter,"Open-world exploration in a large fantasy setting; Character customization and skill progression; Real-time combat with magic, melee, and ranged abilities; Crafting and enchanting systems.",Player-driven exploration and quest completion; Immersive narrative with choices affecting outcomes; Dynamic interactions with factions and NPCs; Customizable skill progression and leveling system.,"Expansive, immersive fantasy world with a vibrant day-night cycle; Atmospheric music by Jeremy Soule; Detailed character models and vast environments.",Radiant AI system that provides NPCs with daily routines and reactions to player actions.,PEGI 16,"A vast open-world RPG where players take on quests, explore the realm of Cyrodiil, and interact with a dynamic world where choices matter, all while developing their character’s skills.","Open-world exploration; real-time combat, magic and melee systems; branching narratives based on player decisions.",Bethesda Game Studios,Bethesda Softworks
Coin Master,Casual,Mobile; Strategy,Slot machine mechanics for spins; Village-building and upgrading; Attack and raid mechanics to steal resources; Collecting cards for bonuses.,Competitive and social interaction with friends and rivals; Strategy to balance resource gathering and village upgrading; Time-based mechanics with daily free spins; Random rewards from spins influencing progression.,"Cartoonish, bright, and colorful visuals; Fun sound effects mimicking slot machines; Casual, light-hearted aesthetics with animal-themed characters.",Features in-app purchases and ads to monetize gameplay,PEGI 12,"A casual mobile game where players use spins to earn coins, build and upgrade villages, and attack others' villages, with a competitive and social dynamic at its core.",Slot-machine mechanics for earning resources; village-building; social and competitive interactions; time-based progression.,Moon Active,Moon Active
Evony: The King’s Return,Strategy,MMO; City-building,Resource management for building and upgrading cities; Real-time multiplayer battles; Hero recruitment and training; Alliances and cooperative gameplay.,Collaborative play through alliances; PvP battles in real-time; Strategic resource allocation for city expansion and military growth; Alliance dynamics influencing progression and dominance in the world.,"Medieval-themed environments and structures; Highly detailed, stylized graphics; Realistic city layouts and military units in an expansive fantasy world.",Known for its strategic blend of city-building and real-time multiplayer combat,PEGI 12,"A strategic MMO game where players build their empires, manage resources, and battle other players in real-time, while also forming alliances and waging large-scale wars.",City-building; resource management; real-time PvP; and multiplayer alliances are central to gameplay.,"Evony, LLC","Evony, LLC"
Candy Crush Saga,Puzzle,Match-3; Casual,Match-3 puzzle mechanics; Power-ups and special candies for complex combinations; Level progression with increasing difficulty; Lives and time-limited events.,Balancing between puzzle-solving and resource management (lives); Dynamic difficulty progression based on player success; Social play by competing with friends; Regular limited-time events and updates adding new levels.,"Bright, colorful visuals with candy-themed designs; Cheerful and catchy sound effects; Simplistic, approachable aesthetic that appeals to a wide audience.","Focuses on microtransactions for extra lives and power-ups, with social features integrated into Facebook.",PEGI 3,"A casual match-3 puzzle game where players complete levels by swapping candies to create matching rows of three or more, with increasingly difficult puzzles and limited lives.",Match-3 mechanics; increasing difficulty progression; power-ups; social features; time-based lives system.,King,King
Mario Kart,Racing,Arcade Racing,Kart racing with power-ups and weapons; Drift mechanics for speed boosts; Multiplayer modes (local and online); Character-based abilities and custom karts.,"Dynamic, fast-paced racing with random item distribution; Competitive and chaotic multiplayer experience; Strategic use of power-ups to outmaneuver opponents; Player progression through unlocking characters and karts.","Bright, colorful, and whimsical environments inspired by the Mario universe; Light-hearted, cheerful music; Cartoonish character models and exaggerated animations.","Known for its accessible yet highly competitive racing mechanics, with iconic characters from the Mario franchise.",PEGI 3,"A kart racing game featuring Mario and other iconic Nintendo characters, where players race on various tracks using items and power-ups to gain an advantage, both in single and multiplayer modes.",Kart racing with power-ups; multiplayer modes; character customization; accessible yet strategic gameplay.,Nintendo,Nintendo
Tom Clancy's Rainbow Six,FPS,Tactical Shooter,Realistic combat with one-shot kills; Squad-based tactics; Emphasis on planning and strategy; Destructible environments for breaching.,High-stakes decision-making under time pressure; Team-based dynamics requiring communication and coordination; Balancing between defensive and offensive strategies; Emphasis on careful planning over reflex-based shooting.,"Gritty, realistic depiction of urban counterterrorism operations; Detailed interior environments; Cinematic tension through sound design and lighting.",Known for its highly strategic gameplay and unforgiving difficulty where teamwork is essential for success,PEGI 16,"A tactical shooter where players take on the role of elite counterterrorism units to complete hostage rescue or elimination missions, with an emphasis on planning and precision.",Tactical squad-based gameplay; realistic combat mechanics; destructible environments; and planning-based missions are core elements.,Ubisoft Montreal,Ubisoft
